name,bio,location,investment_stages,investment_markets,portfolio_companies
Ajay Srinivasan,"Ajay Srinivasan has been the Chief Executive of Aditya Birla Capital Limited, the holding company of the financial services businesses of the Aditya Birla Group, since July 2007. 

In his role as Chief Executive, he sets the strategic direction for the Group’s Financial Services business which covers several verticals such as life insurance, mutual funds, wealth management, retail broking, retail lending, corporate financing, infrastructure finance, housing finance, general insurance broking, health insurance, pension fund management and asset reconstruction. Under his leadership, the financial services business has grown rapidly and has diversified into a large conglomerate with several new verticals added. 

In FY21 the company recorded a turnover of over Rs 20,000 Crore, profit before tax of over Rs. 2,000 Crore, Assets under Management of over Rs. 3,35,000 Crore, insurance premium of Rs. 11,076 Crore and a lending book of over Rs. 60,000 Crore. It enjoys the trust of more than 24 million active customers and has a workforce of over 22,500 people. The company has been one of the fastest growing non-banks in the country and has won multiple awards. The recent few include the ‘Asia Pacific Enterprise Award for Corporate Excellence’, ‘Top 25 Innovative companies in India’, ‘IMC RBNQA Best Practice Award, ‘Brand of the year’, ‘Top 25 Dream Employer’, and ‘FICCI CSR’ award.       

Prior to joining the Aditya Birla Group, Ajay was Chief Executive, Fund Management at Prudential Corporation Asia, based in Hong Kong between January 2001 and July 2007. Under Ajay’s leadership, Prudential’s fund management operations in Asia grew rapidly, both organically and through acquisition. Ajay oversaw a business that spanned ten markets, including Japan, with total funds under management of about USD 70 Bn, which made it at the time the second largest retail fund manager in Asia. 

As a member of Prudential Corporation Asia’s Board of Directors, Ajay also oversaw the development of Prudential’s retirement business in Asia. 

Ajay joined Prudential in 1998 as Managing Director of Prudential ICICI Asset Management Company, Prudential’s Indian fund management joint venture with ICICI Bank. Within two years of operation, Prudential ICICI AMC had grown to become the largest private sector asset management company in India. 

Prior to joining Prudential, Ajay was the Deputy Chief Executive Officer and Chief Investment Officer of the Indian operations of Threadneedle Asset Management. 

With a proven track record for setting up and scaling businesses, his experience in the financial services industry spans over three decades. He has been a CEO for over two-third of his working life.

Ajay has been engaged with several bodies including the CII National Committee and the Advisory Board of the City of London. He has been actively engaged with the startup ecosystem through the Bizlabs initiative set up at Aditya Birla Capital.

Ajay holds a BA with Honours in Economics from St Stephens College, University of Delhi, and is a postgraduate from the Indian Institute of Management, Ahmedabad.",mumbai-maharashtra,,,
Ajay Sudan,Ajay Sudan is the Angel Investor at Coda.He attended Massachusetts Institute of Technology.,menlo-park-california,,"saas-enterprise,cybersecurity,cloud-infrastructure",
Ajay Taneja,Ajay Taneja is the Digital Marketing Manager at Atlantico Network. Ajay Taneja attended St. Michaels .,gurgaon-haryana,,,
Ajay Trehan,,gurgaon-haryana,seed,,
Ajay Vashee,"Ajay came to IVP from Dropbox, where he guided the company through its IPO and first several years as a public company. As a first-time CFO, he stepped into a leadership role early in his career, and learned firsthand how to build, support and inspire a high-performing team.As an investor, Ajay is always on the lookout for companies that are solving big problems in market categories on the precipice of disruptive change. He is also focused on helping IVP build platform capabilities closely attuned to the needs of our founders. It’s why we launched the CFO Collective—the first community of its kind—which brings the brightest minds in strategic finance together to support one another and lay the groundwork for the future.",san-francisco-california,"Series B+, Series A","saas-enterprise,fintech,ai-ml,ecommerce-retail,hr-future-of-work","Jasper AI, Figma, DeepL, Superhuman"
Ajay Vishnu,Ajay Vishnu has 2 current jobs as CTO at Solaris and Founder at Jetbrain Robotics.,gurgaon-haryana,,,
Ajay Y.,,los-angeles-california,,saas-enterprise,
AJ Bruno,AJ Bruno is the Founder & CEO at QuotaPath. He previously worked as the Founder & President at TrendKite.,austin-texas,,,
AJ Dye,"AJ sources and manages investments for Iron Gate. Prior to Iron Gate, AJ led originations in the Rocky Mountain region for Pacific Western Bank and spent six years with Delta Electronics Capital, a corporate venture capital firm, where he led investments & M&A in the US. He also worked at Innovation Capital, an investment bank, for four years. AJ was named a Carolina Venture Fellow at SJF Ventures. He earned an MBA from the Kenan-Flagler Business School at the University of North Carolina and BSBA from the University of Colorado at Boulder. AJ joined Iron Gate in 2019.",denver-colorado-b063,,,
Ajeet Khurana,"Ajeet Khurana is a leading name in the cryptocurrency industry. He is the former head of the Blockchain and Cryptocurrency Committee, which as part of IAMAI is India's foremost industry body for cryptocurrency.

Presently, as an advisor to several crypto projects, he is seen as a specialist in:
* Tokenomics: pools, structure, architecture, flow, utility, value
* Market Mechanisms: market making, liquidity, listing, volume
In addition he helps with increasing adoption, communication, evangelizing, ambassador programs, and digital outreach. Some crypto founders regard Ajeet as their personal friend, philosopher, and guide.

Earlier, in his role as CEO of Zebpay (India’s largest cryptocurrency exchange at that time), he took it from being a one-country exchange to a global exchange. As CEO of the business incubator at IIT Bombay (India’s premier engineering school), he helped commercialise several ideas from concept stage. As an advisor to Venture Capital firms in India, China, US, and Canada, he has an eye for promising founders.

Still earlier, Ajeet has authored several books with McGrawHill Education, been an entrepreneur twice, and taught at the University of Texas at Austin.

Here is how he characterizes himself:

WHAT I HAVE ACHIEVED REPEATEDLY IN MY CAREER
Customer focus. Speed. Attracting and empowering the right people. Making hard decisions. Managing chaos and conflict. Smoothly navigating regulations & compliances. High governance standards. Cultivating relationships. Converting markets to communities. Negotiating deals. Continuous process and product improvement.

WHAT I AM LOOKING FOR
A mandate that requires rapid growth and evolution. A role that requires backbone and heart. A non-bureaucratic system that expects a strong bias for action. An opportunity to learn, and create strong cultural underpinning.

HOW I BUILD AND MANAGE TEAMS
Single minded focus on the customer. Choose people based on cultural fit and alignment of passion. Impart purpose. Select for potential, but advance for performance. Empower people to work. No busy work. No unending meetings. Don’t be hierarchy-minded. Encourage learning.",mumbai-maharashtra,seed,,
Ajeet Raina,"Ajeet is a Docker Captain and Docker Community Leader. He leads the Docker Bangalore Community of around 15,000+ Meetup members. He is a distinguished ARM Innovator and has a bunch of exciting IoT-based application built in his name. He is currently working as a DevRel Manager at Docker.  Ajeet has worked at Dell and VMware in the past and has around 15+ years of experience. He runs a DevOps community of around 9000+ Slack members. He is a winner of ""The Tips of Captain's Hat Award"" during Dockercon 2019 in San Francisco. His personal blogging site https://www.collabnix.com holds 1050+ blogs attracting 14-15 million visits. You can follow him over Twitter at https://twitter.com/ajeetsraina",bangalore-karnataka,seed,,
Ajeet Singh Kushwaha,Ajeet Singh Kushwaha is the Co-Founder of Seekho. He previously worked at Freshworks as a Director Product Management. Ajeet Singh Kushwaha attended the Indian Institute of Technology Kanpur.,gurgaon-haryana,,,
AJ Esmailzadeh,AJ Esmailzadeh is the Founder of Private.Me.,los-angeles-california,seed,,
AJ Faraj,"AJ Faraj is a serial entrepreneur, investor, CEO, and Co-Founder of WadiTek. He attended George Mason University.",united-states,"early_stage_venture, seed",,
AJ Hanna,AJ Hanna currently works as a Board of Directors for Prepay Nation. He previously worked at 118 118 Money as a Board Member.,california-usulutan,,,
Ajinkya Apte,Ajinkya Apte is the Co-founder and CEO of Snapser. He previously worked at ClimateAI as a Head Of Engineering. Ajinkya Apte attended University of Southern California.,san-francisco-california,,,
Ajinkya Deshpande,Ajinkya Deshpande is the founder of AD Corporations.,pune-maharashtra,initial_coin_offering,,
Ajinkya Kulkarni,"Ajinkya Kulkarni  CEO, Co-Founder, WintWealth. He attended Indian Institute of Technology Gandhinagar 2018-2012.",bengaluru-karnataka,,,
Ajit Deshpande,"Ajit Deshpande is a senior associate for Opus Capital, where he sources and evaluates investment opportunities and contributes business and technical assistance to portfolio companies.

Ajit is an MBA graduate from the Haas School of Business at UC Berkeley and is a Kauffman Fellow, Class 17.  Prior to business school, Ajit worked for eight years in engineering/operations roles in semiconductors and cleantech and recently had stints in internal corporate venturing, angel investing and technology investment banking.  Immediately prior to joining Opus Capital, Ajit consulted with a startup in the cellular cloud access and network services space to help develop its go-to-market strategy in preparation for venture fundraising.",redwood-city-california,,,
Ajith Karimpana,"Leaving a successful job. Starting a business, especially one that requires a deep change in consumer habit, calls for a different kind of determination – the stubborn, steely ‘never say die’ kind. 
That’s Ajith for you. His passion for rental furniture has never wavered, neither in the first 4 years of business pre-funding, nor in the successful years after. His passion and vision ‘Never own furniture’ has inspired a whole company to take on this mantle and create brave new evangelists of the new economy.",bangalore-karnataka,,,
Ajit Isaac,"Ajit Isaac is based out of Bengaluru, Karnataka, and is the Founder and Chairman of Quess Corp Ltd. Ajit previously worked at Adecco India Private Limited as a Country Manager - in India and Middle East. Ajit Isaac attended the University of Leeds.",bengaluru-karnataka,,,
Ajit Mayya,"Ajit Mayya is the Venture Partner of Pentathlon Ventures. He attended the Indian Institute of Technology, Bombay.",saratoga-california,,,
Ajit Prabhu,"Ajit Prabhu is the Co-founder, Chairman & CEO at Quest Global. Ajit attended Rensselaer Polytechnic Institute.",singapore-central-region,,,
AJ Lamba,AJ Lamba is the Founder and Coach of Lamba Coaching and Consulting. He attended Harvard University.,ontario-canada,,,
Ajmaine Al Arafat,"Ajmaine Al Arafat is a Bangladeshi Entrepreneur , Programmer, and web developer. He has already made significant strides in various fields . Since childhood, He had a keen interest in trying new things.

He was born in Kathalia, Jhalokhati 27 August 2008. He brought up kathalia , Jhalokhati and finished tutoring here. At the age of 16, he started his Digital Marketing & Web Development career. Always dream to make something artistic that will retain me in the heart of millions.

He also verified at Spotify, YouTube, Deezer, Amazon Music, IMDB, and much other platforms.

From childhood, he wanted to do something different.

Apart from this, he creates YouTube videos, writes blog posts, records podcasts related to digital marketing to teach others",barisal-bangladesh,early_stage_venture,,
AJ Malhotra,"AJ Malhotra joined Insight in 2014. Previously, he worked at Viacom, specifically for Nickelodeon in their e-commerce department. Prior to that, he worked at a financial media start-up in New Jersey.
AJ received a BBA from the University of Michigan’s Stephen M. Ross School of Business, with concentrations in both finance and entrepreneurship. While in college, AJ ran one of the largest undergraduate investment funds in the country as well as planning the fund’s annual undergraduate pitch competition. In his free time, AJ enjoys following New York and University of Michigan sports, watching indie films, traveling, and live music.",new-york-new-york,"Series B+, Series A","saas-enterprise,fintech,ai-ml,ecommerce-retail,cybersecurity",
AJ McLean,,new-york-new-york,seed,,
AJ Nandi,AJ Nandi is the Co-Founder at Subset.,new-york-new-york,,"ecommerce-retail,edtech",
AJ Nelson,AJ Nelson is the Co-Founder and President of Rain.,san-francisco-california,,,
AJ Okereke,,cambridge-massachusetts,,"saas-enterprise,fintech",
Ajoy Mallik,"Ajoy Mallik joined CFHI's board in 2002 and was the Chairman in 2007 and 2008.  He is currently AVP and Global Head of the VC and Startup ecosystem for the Emerging Business Accelerator for Cognizant Technology Solutions.  At Cognizant, Ajoy is responsible for generating and vetting new ideas and concepts, evangelizing innovation internally as well as externally, and providing new avenues for the company to drive non-linear growth as well as build new businesses.  He is also responsible for streamlining the investment and acquisition strategy as it relates to start-ups and smaller technology companies.  Ajoy holds an M.B.A. in International Business and Information Systems and a Bachelor of Science in Physics from the University of Maryland, College Park.",saratoga-california,,,
AJ Shankar,"AJ Shankar is the CEO and Founder of Everlaw. He attended the University of California, Berkeley.",berkeley-california,,cloud-infrastructure,
Aju Jacob,Aju Jacob is the Jt Managing Director of Synthite. Aju Jacob attended the Ramaiah Institute of Technology.,ernakulam-kerala,,,
AJ Vaynerchuk,AJ Vaynerchuk is a Co-Founder of VaynerSports.,new-york-new-york,seed,,
Akash Agarwal,"Akash Agarwal is a veteran business executive in high technology with over 20 years experience spanning general management, marketing, product development, strategy, and sales. Akash's experience is in the mobile, enterprise and consumer Internet, at both small and large companies. Akash has been an entrepreneur, founding and running several venture-backed Internet startups, and in management at HP (via Mercury acquisition) and Oracle Corporation. He holds an M.B.A. from the Harvard Business School and a B.S. in Computer Science (with honors) from the University of Kent at Canterbury, England.  

Akash is also a Charter Member of TIE (The Indus Entrepreneur TiE).

Education
MBA, Harvard Business School, General Management (1998)
Bsc. Hons. Comp Science, University of Kent at Canterbury, UK (1990)",san-francisco-california,seed,,
Akash Bajwa,,united-kingdom,,fintech,
Akash Chaudhary,Akash Chaudhary is the founder of Filmee Keeda. He attended Indira Gandhi National Open University.,noida-uttar-pradesh,,,
Akash Devkate,,india,"early_stage_venture, seed",,
Akash Garg,"Akash is a highly hard working and proficient e-commerce professional with over 5 years of work experience in E-commerce industry.  Having started his career with Shopclues where he was responsible for Category Growth and International B2C and B2B business; he founded Brand Hawkers in February 2017 with a vision to empower MSMEs and 3P sellers for business growth. He expertise in Business Strategy, PNL Management, Advertising and follows a ROI based approach.",delhi-delhi,private_equity,"saas-enterprise,fintech,data-analytics",
Akash Gaurav,"Akash is a technology innovator, entrepreneur, keynote speaker and is featured among World's Top 100 Blockchain Leaders by Lattice80. He co-founded India’s first blockchain company, Auxesis, during his studies at IIT Bombay. Under Auxesis, Akash also founded Blockchain Lab India and Auxledger Network. Both the initiative attracted success, resulting in aggressive development of Blockchain ecosystem in the country. Auxledger Network currently houses over 62 Million Indian population and supported by over 200 global partners. RISE Global has constantly ranked Auxesis Group among the Top 100 Most Influential Blockchain Company in the World. Additionally, Akash works as a visiting professor at Amity University Dubai and sits in the advisory board of London based FinTech startup Cashaa. Akash has also served in various expert committees formed by the Government to strengthen technology adoption in India.",mumbai-maharashtra,seed,,
Akash Gehani,Akash Gehani is Co-founder at  Instamojo.,bengaluru-karnataka,seed,,
Akash Gupta,,new-york-new-york,,saas-enterprise,
Akash Hegde,"Akash Hegde is the Co-founder and MD of ShakeDeal. An internet entrepreneur and technology product leader, he was recently featured on the Forbes 30 under 30 Asia 2021 list for his contribution to the e-commerce sector. He had briefly enrolled at the Indian Institute of Technology Kharagpur before deciding to pursue a fully funded undergraduate scholarship at the prestigious National University of Singapore. Consistently featured on the Dean’s List, he graduated Summa Cum Laude in Electrical Engineering and won multiple accolades while at NUS. Akash has over 8 years of rich work experience across product management, business operations, and strategy roles. He has played an instrumental role in building world-class products for leading product tech companies in the SaaS and E-Commerce domains. While at Practo, he launched their main product offerings - Doctor Search and Practice Management Software - in international markets such as Singapore, Indonesia, Malaysia, and the Philippines. At Shopee, he was a part of the early product team that launched the e-commerce site and mobile app simultaneously across 7 countries, clocking over $200M+ GMV in 6 months of going live. He is now dedicating his energy towards solving exciting pain points in the B2B procurement and supply chain sector. In his time off-work, he likes reading the Economic Times and dissecting other businesses and their business models.",bengaluru-karnataka,,,
Akash Kamal,"Akash is a first-generation entrepreneur with legal and economic background. He specialises in building communities and creating great digital experiences. His understanding of real-life business circumstances, coupled with utmost dedication to deliver the expected results, makes him a reliable resource for the business fraternity.",new-delhi-delhi,early_stage_venture,,
Akash Kumar,"Software Developer, Graphics and Website Designer",gurgaon-haryana,,,
Akash Mahajan,"Before founding Kloudle, I started Appsecco in 2015. At Appsecco we did security testing of products hosted in public cloud. We tested 100s of apps. Instead of app bugs, infra was misconfigured.

Humans make mistakes. So far most developers are human. Project after project we hacked into customer’s apps due to cloud misconfigs. Training wasn’t the answer. Hence we built Kloudle. 

It answers 3 things. What’s running, what’s wrong, how to fix it. Automatically,  in a loop. 

A CSPM built for devs.",bengaluru-karnataka,,,
Akash Nagar,Unlock your potential. Elevate your career with our business analyst certification training. Gain the skills and knowledge to drive strategic decision-making and reshape the future of businesses. Let's transform your passion for analysis into a powerful tool for success. Join us on this transformative journey today.,,,,
Akash Noatia,"Akash Noatia is an India Entrepreneur who is the founder  & CEO Borok Media, Times Of Millionaire and Flaunt Post. He was born on January 29, 2004 in the Noatia Community.",dharmanagar-tripura,private_equity,,
Akash OP Aurora,Akash is the co-founder of mVakil - Track Court Cases Live.,,"early_stage_venture, private_equity, seed, venture",,
Akash Saxena,"Akash Saxena is an SVP, Head of Technology, Hotstar.",mumbai-maharashtra,,,
Akash Thakur MSVA,"Akash Thakur MSVA is an inspiration for those who are willing to see or make a good change in society whether it's socially, culturally, financially or mentally linked. He is the youngest influencer of India who does Motivational Raps on his YouTube channel, Humanity-A Vision. 
Leadership is his hobby and he is very good in setting examples as he is living his life on his own from 12 years consecutively.",bulandshahr-uttar-pradesh,venture,,
Akbar Ali Shah,"Akbar Ali Shah is the CEO of RB Pakistan Hygiene Home, a subsidiary of British based FMCG MNC RB which owns world renowned brands like Dettol, Lysol, Harpic, Mortein, Veet, Vanish, Durex, Airwick, Finish & many others. He is also on the executive boards of RB Pakistan, Saaf Sehat Mand Pakistan & on the advisory board of Iqra University in Pakistan. He is also part of Middle East North Africa & Pakistan cluster leadership team for RB.

Akbar is a graduate of IBA from the batch of 2002. He started his career with Unilever before moving to RB in 2005. In his career spanning over 18 years, he was responsible for RB business in various other countries including KSA, Middle East, North Africa & Iran where he was part of the leadership team responsible to manage over $1b business.

In Middle East, Akbar worked with Dr. Ishrat Hussain, former governor state bank of Pakistan & dean of IBA, to set up the IBA Middle East Alumni Chapter. Akbar was the founder & the first president of the IBA Alumni based in Dubai.

He is a socially conscious transformational leader who believes in purpose driven business ideas to create a social impact. He believes businesses without purpose & social impact are like bodies without a souls. In Pakistan, he is working on social issues related to Health & Hygiene as well as work place inclusivity. He is avid reader & traveler.",karachi-sindh,,,
Akhil Aryan,Akhil Aryan is the Co-Founder of Altergo. He previously worked at Haptik as a Product and Growth. Akhil Aryan attended the University of Mumbai.,mumbai-maharashtra,,,
Akhil Rapelli,"Rapelli Akhil is a next-generation cybersecurity visionary, entrepreneur, and AI-driven technology leader who has dedicated his career to making the digital world safer for businesses and individuals alike. As the Founder & CEO of SwiftSafe Cybersecurity Solutions and the creator of Prava Ai — a cutting-edge, AI-powered cybersecurity platform — Akhil has been at the forefront of blending artificial intelligence with advanced security strategies to redefine how organizations defend their digital assets.",india,,,
Akhil Saklecha,"Akhil Saklecha focuses on early stage investments with an interest towards medical technology.  As a Partner at Artiman, he has led investments in DMS Networks and Cellmax.

Akhil has over 15 years of experience in medicine and healthcare management. Prior to joining Artiman in 2010, Akhil was Medical Director of a 750 bed hospital's regional transfer program. Prior to that position, he was President and CEO of Canton Aultman Emergency Physicians, a professional services firm that provides physicians, mid-level providers, and coding expertise to multiple hospitals and urgent care centers. 

He was also Chairman of Emergency Medicine at Aultman Hospital, a large trauma, cardiac, and stroke center seeing nearly 90,000 patients annually. In this same time period, Akhil has served at the local, state, and national levels within emergency medicine, healthcare quality, information technology, managed care, and emergency medical services.",san-francisco-california,,,
Akihiko Okamoto,"Akihiko Okamoto is Partner at Headline Asia. He was a Managing Director and Chief Investment Officer at MUFG Innovation Partners Co., Ltd. He attended Kobe University.",japan,"Series B+, Seed, Series A","saas-enterprise,fintech,ai-ml,ecommerce-retail,cybersecurity",
Akihiro Higashi,"Involved in venture investment at GLOBIS Capital Partners since 2012. He served as an outside director at six companies. Major investment achievements include Evry, Creamer, Renovell, Itanji, Hope, Lutrek Networks, Aso View, Lancers and others. It was ranked 7th in Forbes' 2017 Best Investing Investor Best10 in Japan. Japan Venture Capital Association ""Most Valuable Young VC Award"", Japan Venture Award2017 ""Venture Capitalist Encouragement Award"", etc. Prior to that, he set up a platform business at GREE Co., Ltd./invested in a gaming company, and was a subsidiary director at Septeni Holdings. She loves sweets and is in charge of Monthly Suites of W ventures. Recently I am studying ikebana (Ikenobo) and sauna.",minato-chiba,,,
Aki Kakko,Founder Alphanome.AI - AI Research Lab & Venture Studio,,seed,,
Aki Koto,Aki Koto is a Partner at World Innovation Lab (WiL).,san-francisco-california,,,
Aki Kuivalainen,"CEO Aki Kuivalainen has +20yrs experience from healhcare and welfare as substance and from IT/digitalization opportunities point of view. 

By working among disabled persons, child welfare, elderly home care in multi-professional teams added with long career at publicly listed IT-service company gives to Aki an unigue vision and understanding what is to combine people and data.

Aki holds Bachelor of Social services and Master of Business Administrations.",finland,,,
Akim Arhipov,"Akim is an Estonian entrepreneur who has cofounded BASIS ID– all-in-one identity verification (KYC) platform for financial institutions and governmental agencies in Southeast Asia. Akim’s team was participated in creation of electronic ID system and eGovernment portals for Estonian government.

Previously a co-founder of successful companies in IT and transportation sectors – OnniBus.com and SuperBus.com. The first one is the most successful commercial bus operator in Finland: 20 lines, 200+ daily departures, 6+ million passengers served annually.",estonia,,"fintech,edtech",
Akinpelu Olumide,"Akinpelu's journey is just beginning, and the chapters that lie ahead hold the promise of exciting adventures and accomplishments. As he sets his sights on higher education and explores opportunities to contribute to society, Akinpelu Olumide is poised to carry the torch of Ikirun's legacy into the global arena.",,,,
Akin Sawyerr,,washington-dc-metro-area,,,
Akos Kapui,"Akos has a wide range of experience from programming in assembly to building highly scaleable architectures, making him able to oversee the technological progress from designing the architecture, to managing a project team of up to 5 people and delivering in time.

Akos has also won numerous innvation awards for his work, which is reflected in the creativity and new ideas in his everyday work.",budapest-budapest,,,
Akos Maróy,"Ákos Maróy is cofounder of Aero Glass. He previously cofounded EU Edge, an outsourced software development shop, and Scarab Research. He is an active pilot and a member of the Tokyo-based doubleNegatives Architecture group. He is also cofounder of atlatszo.hu, an investigating journalism and citizen empowerment initiative in Hungary.",hungary,seed,,
Akos Piffko,"Akos Piffko is the Co-Founder and Managing Director of FAYNT, AVA & MAY, and Hashtag You. He was the Co-Founder of Natural Mojo before that. Akos graduated from ESCP Business School and The University of Edinburgh.",berlin-berlin,,,
Akriti Chopra,"Akriti Chopra is the vice president of finance and operations at [Zomato](https://www.crunchbase.com/organization/zomato#/entity), an online and mobile restaurant search and discovery service that provides in-depth information for over 1.4 million restaurants in 23 countries. Previously, she served the same company, holding a senior management position in the field of finance and operations.

Prior to joining Zomato, Chopra was an articled assistant at PwC. She is a chartered accountant from The Institute of Chartered Accountants of India, who also holds a Bachelor of Commerce degree from Lady Shri Ram College for Women.",gurgaon-haryana,,,
Akriti Dokania,"Akriti sits within the Future of Industry team at Octopus Ventures and focuses on deep tech businesses within the fields of Artificial Intelligence, Machine Learning software, B2B Enterprise Software, Cyber Security and next generation automation. Akriti is a computer science engineer by background and worked as Product Manager with Windows Security and in the User Experience team at Windows Edge. Prior to this she built a B2B business focused on accounting in the retail space in India. She then moved to London to complete her MBA at the London Business School, during which time she worked at Amazon Alexa.",london-england,,"fintech,media-entertainment",
Aksel Lund Svindal,,united-states,seed,,
Akshant Goyal,"Akshant is the Head of Corporate Development. He likes to eat alone - says he likes to eat his food in peace, and is known to go for long walks alone.",gurgaon-haryana,,,
Akshat Goenka,Akshat Goenka is the Investor at Moonfire Ventures. He attended London Business School from 2020 to 2022.,mumbai-maharashtra,,"fintech,healthcare,media-entertainment,gaming",
Akshat Jain,Akshat Jain is the Co-founder and CTO of Cyware. He attended the University of Hyderabad.,bengaluru-karnataka,,"fintech,edtech",
Akshat Mehta,"A 17 year old student , building a startup named Attired Z",jaipur-rajasthan,seed,,
Akshat Rathee,Akshat Rathee is the Founder of Nova Play. He previously worked at Swabhimaanya as a Cofounder. Akshat Rathee attended École des Ponts Business School.,gurgaon-haryana,"early_stage_venture, seed",,
Akshay Bhargava,"As Chief Product Officer, Akshay is responsible for the product vision, roadmap, and business strategy for Malwarebytes. With nearly 20 years of experience leading product management, engineering, and marketing, Akshay has brought a culture of data-driven decision making and product innovation for continued growth of the organization. Akshay has delivered industry-leading products and defined business strategy for Cloud/SaaS, Cybersecurity, and Systems Management previously at Oracle, FireEye, McKinsey & Company and others.",san-francisco-bay-area-california,,"saas-enterprise,cybersecurity,cloud-infrastructure",
Akshay Bhushan,"Akshay Bhushan serves as a Vice President at Tola Capital. He applies his experiences in software development and data science to identifying and investing in enterprise software companies.

He was previously an Associate at L.E.K. Consulting, a global management-consulting firm with Fortune 500 and private equity clients. During his time at L.E.K., he worked on strategic issues for a range of clients in the software, aviation, and healthcare industries. His primary focus was on investment diligence and growth strategy. He also worked directly with several L.E.K. practices to define their internal data and technology initiatives.

During his undergraduate studies, Mr. Bhushan served as a product manager for Fedcentric Technologies, where he partnered with researchers on the development of new algorithms and products at the U.S. National Cancer Institute.

Mr. Bhushan graduated in 2015 with a B.S. in International Politics from Georgetown University. When he wasn’t studying, he spent his time teaching himself to code.",greater-seattle-area,"Pre-Seed, Seed, Series B+, Series A","saas-enterprise,healthcare",
Akshay Chaturvedi,Akshay Chaturvedi Founder & CEO @ Leverage Edu. He attended Indian School of Business during 2014-2015.,bangalore-karnataka,,"ai-ml,healthcare,edtech,gaming",
Akshay Deo,Akshay Deo is the Co-Founder and CTO of Maxim. He previously worked at Postman as a Head of Importers. Akshay Deo attended Pune Institute of Computer Technology.,pune-maharashtra,,,
Akshay Hunka,Founder and CEO YatraWale | Serial Entrepreneur | Techie | Activist | Berojgaar Sena Pramukh | Member at IncIndia,bhopal-madhya-pradesh,private_equity,,
Akshay Kothari,"Akshay Kothari is the co-founder of Pulse, a mobile application that allows you to read all your favorite content in one place. Pulse began as a class project in the Launchpad class at Stanford University, and has grown to over 30 million users today. It won the coveted Apple Design Award in 2011 and was inducted into the App Store Hall of Fame. Pulse was recently acquired by Linkedin for $90 million.",san-francisco-california,seed,,
Akshay Mehndiratta,"Akshay Mehndiratta is a driven businessman and culinary blogger. He is well recognized for his distinctive method of food blogging, which entails fusing conventional recipes with contemporary methods. Akshay Mehndiratta offers his expertise and experience in the field of food blogging through his blog.",,venture,,
Akshay Mehra,Investor at Hummingbird Ventures. Focused on companies across India and Southeast Asia.,singapore,early_stage_venture,"saas-enterprise,fintech,healthcare",
Akshay Naheta,"Akshay Naheta is based out of Alpharetta, Georgia and is the Co-Chief Executive Officer of Bakkt. Akshay previously worked at SoftBank Group as a Senior Vice President. Akshay Naheta attended the Massachusetts Institute of Technology. Akshay Naheta has been awarded Young Alumni Achievement Award.",alpharetta-georgia,,,
Akshay Narisetti,"Akshay Narisetti (born 28 March 2002) is an Indian entrepreneur, artificial intelligence researcher, roboticist, and software engineer. He gained recognition at a young age for his innovative work in robotics and AI, including developing self-solving Rubik's cube robots and autonomous drones for parcel delivery. In 2024, Narisetti was one of 16 individuals globally selected for the prestigious Augmentation Lab residency, a collaboration between Harvard University and the Massachusetts Institute of Technology (MIT)",india,early_stage_venture,,
Akshay Navle,Akshay Navle is the Chief Executive Officer - Americas at WorldRemit.,new-york-new-york,seed,,
Akshay Pillai,Entrepreneur and investor. Founder and chief editor at Denturecapital.io,toronto-ontario,seed,,
Akshay Sasikumar,"Akshay Sasikumar is the Founder and Managing Partner of 82Advisory. He previously worked at Yoactiv as a Business Advisor. Akshay Sasikumar attended Management Development Institute, Gurgaon.",bengaluru-karnataka,,,
Akshay Saxena,Akshay Saxena is the Co-Founder and Director at Avanti Learning Centres.,new-delhi-delhi,seed,,
Akshay Shah,Akshay Shah is the Co-Founder of Wayout International and Ponea Health and the Group Executive Director at Silafrica. He previously worked as a Board Member at Endeavor Kenya and Simgas Tanzania. Akshay attended Rockford University.,nairobi-nairobi-area,"early_stage_venture, seed",,
Akshay Sharma,Akshay Sharma is a vice president at 3one4 Capital.,,,"saas-enterprise,fintech,ai-ml,ecommerce-retail,cybersecurity",
Akta Raja,"Akta founded Enhabit Ltd, a business delivering low carbon retrofit and newbuild at scale. In 2020, the business merged with the Green Building Store, and Qoda Consulting, after which she exited. 

Akta previously worked at Slaughter and May and HSBC Bank plc, where she worked on large scale corporate M&A and capital raisings.

She focuses on climate tech, health and supporting diverse and mission-driven founders. She is on the investment committee at Clearbrook Capital Partners, an adviser to SCVC and numerous ventures.

She is extremely keen on working with her local community to deliver improvements in health, climate and entrepreneurial growth, and therefore is a NED at The Royal Free London, trustee at The Roya Free Charity, director at Power Up North London and trustee at BLP, an organisation that supports young people, aged between 16 and 30 living in London to become future entrepreneurs and leaders.",london-england,,,
Ak Twiprasa,,agartala-tripura,private_equity,,
Ala Alenazi,"Ala Alenazi is based out of London, England and is the Board of Directors of Strand Therapeutics. Ala previously worked at Tailor Bio as a Tailor Bio. Ala Alenazi attended the University of Cambridge.",london-england,,healthcare,
Alaa Masoud,"Passionate about new ideas that utilize technology for making improvements to humanity and advancing our style of living. Originally an IT engineer, now a businessman managing businesses in IT Services, Mobile Applications, and lately Food Trading. I welcome new thoughts, guidance, and open discussions that will benefit me and my business.",istanbul-istanbul,,,
